country,mention_count,frequency_score,context_score,goods_score,diversity_score,sector_score,final_risk_score
Kyrgyzstan,2,0.018867924528301886,0.35,0.047619047619047616,0.2,0.1,0.17629155435759208
Uzbekistan,2,0.018867924528301886,0.35,0.047619047619047616,0.2,0.1,0.17629155435759208
Tajikistan,2,0.018867924528301886,0.35,0.047619047619047616,0.2,0.1,0.17629155435759208
Congo (unspecified),2,0.018867924528301886,0.35,0.015873015873015872,0.2,0.1,0.16835504642108418
Angola,2,0.018867924528301886,0.35,0.007936507936507936,0.2,0.1,0.1663709194369572
Cuba,2,0.018867924528301886,0.1,0.015873015873015872,0.2,0.45,0.15085504642108416
Togo,1,0.009433962264150943,0.1,0.0,0.2,0.45,0.1459433962264151
Sudan,3,0.02830188679245283,0.10000000000000002,0.015873015873015872,0.2,0.3333333333333333,0.12846510931416594
Armenia,1,0.009433962264150943,0.1,0.007936507936507936,0.13333333333333333,0.3,0.11126085654387541
Iraq,2,0.018867924528301886,0.1,0.05555555555555555,0.2,0.1,0.09077568134171908
Azerbaijan,1,0.009433962264150943,0.1,0.03968253968253968,0.13333333333333333,0.1,0.07919736448038335
Turkmenistan,1,0.009433962264150943,0.1,0.03968253968253968,0.13333333333333333,0.1,0.07919736448038335
Maldives,1,0.009433962264150943,0.1,0.007936507936507936,0.13333333333333333,0.1,0.07126085654387541
Central African Republic,1,0.009433962264150943,0.1,0.0,0.13333333333333333,0.1,0.06927672955974842
South Sudan,1,0.009433962264150943,0.1,0.0,0.13333333333333333,0.1,0.06927672955974842
